rse_safeguarded_scal;nlrse_nationwide;rse_activities_1;rse_activities_2;rse_activities_3;rse_activities_4;rse_activities_5
Neither agree nor disagree;Strongly agree;Often;Often;Often;Often;Sometimes
Somewhat disagree;Strongly agree;Always;Sometimes;Sometimes;Always;Sometimes
Somewhat agree;Somewhat agree;Sometimes;Always;Always;Never;Rarely
Strongly disagree;Somewhat agree;Often;Often;Often;Often;Sometimes
Somewhat agree;Strongly agree;Often;Rarely;Sometimes;Often;Sometimes
Somewhat agree;Strongly agree;Sometimes;Rarely;Sometimes;Rarely;Sometimes
Strongly agree;Strongly agree;Always;Always;Always;Always;Always
Somewhat agree;Strongly agree;Often;Sometimes;Sometimes;Rarely;Sometimes
Strongly agree;Somewhat agree;Always;Often;Sometimes;Sometimes;Rarely
Somewhat agree;Strongly agree;Sometimes;Rarely;Often;Sometimes;Sometimes
Somewhat agree;Strongly agree;Rarely;Often;Often;Often;Sometimes
Somewhat agree;Strongly agree;Sometimes;Sometimes;Never;Always;Often
Somewhat agree;Strongly agree;Always;Sometimes;Rarely;Sometimes;Rarely
Somewhat agree;Strongly agree;Never;Never;Sometimes;Often;Sometimes
Somewhat agree;Strongly agree;Often;Often;Sometimes;Sometimes;Often
Strongly disagree;Strongly agree;Often;Sometimes;Rarely;Never;Never
Strongly disagree;Somewhat agree;Always;Never;Never;Rarely;Rarely
Strongly agree;Strongly agree;Always;Often;Sometimes;Rarely;Always
Neither agree nor disagree;Neither agree nor disagree;Often;Always;Sometimes;Rarely;Sometimes
Somewhat agree;Somewhat agree;Often;Always;Often;Often;Sometimes
Strongly disagree;Strongly agree;Often;Sometimes;Rarely;Rarely;Never
Strongly agree;Strongly agree;Sometimes;Always;Often;Rarely;Rarely
Neither agree nor disagree;Somewhat agree;Often;Often;Often;Often;Often
Somewhat agree;Somewhat agree;Rarely;Always;Often;Sometimes;Sometimes
